#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2025-06-25-13-50-34
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer	source
#types	time	string	addr	port	addr	port	string	string	bool	string	string
1750830830.494238	Cwx58n1NS38U5X6Wnl	10.141.143.123	60510	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830830.495795	Cwx58n1NS38U5X6Wnl	10.141.143.123	60510	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830834.477599	ClFfzC1H6B1P5SkTV	10.141.143.123	60513	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830834.479980	ClFfzC1H6B1P5SkTV	10.141.143.123	60513	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830835.544237	C9HqbR2AoGXWY9Ho5l	10.141.143.123	60515	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830835.547079	C9HqbR2AoGXWY9Ho5l	10.141.143.123	60515	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830836.493683	Cn2ugv4eJBWU5cZFLb	10.141.143.123	60540	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830836.497800	Cn2ugv4eJBWU5cZFLb	10.141.143.123	60540	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830840.543004	CeFQbF1trVmJ0jf9fl	10.141.143.123	60541	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830840.545604	CeFQbF1trVmJ0jf9fl	10.141.143.123	60541	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830841.537087	CuWReeSOvuslc12ul	10.141.143.123	60542	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830841.539623	CuWReeSOvuslc12ul	10.141.143.123	60542	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830842.538174	Cg4ItL0D7Ab7JEUv1	10.141.143.123	60544	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830842.540524	Cg4ItL0D7Ab7JEUv1	10.141.143.123	60544	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830846.798177	Cd6GH73wg86oCdprYf	10.141.143.123	60550	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
