#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2025-06-21-13-50-48
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer	source
#types	time	string	addr	port	addr	port	string	string	bool	string	string
1750486218.298032	Celb622JcL1DaWbJH5	192.168.226.11	46166	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750486237.939457	CB25f448MARAXVEC69	192.168.226.11	47038	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750486253.358339	C6UH7i2wvZZnQsIa5	192.168.226.11	44944	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750486268.012741	Cbpzxo1I7bBeLmICO4	192.168.226.11	45914	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750486274.896035	CE3L6IQaBZpthwLG5	192.168.226.11	48670	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750486310.284333	COG9Hbgz53m6C0dy1	192.168.226.11	46438	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750486327.871114	Cr8rd32gFsB3cKgf2a	192.168.226.11	46410	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750486348.385366	Cd1nxUkmaKfZw3Js7	192.168.226.11	45714	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750486363.522731	CCypbH22hmpEftE6f3	192.168.226.11	45244	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750486368.304188	C8qpS11FEUf3PAMffc	192.168.226.11	45256	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750486382.179556	CQPFYn4e5irmBEK3gd	192.168.226.11	45806	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750486387.890385	CTiwzw3RSvLMYAQj61	192.168.226.11	45810	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750486403.052798	Cb5rE51Uy9Mlb6qdW	192.168.226.11	45174	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750486408.571874	ClCz5QBUWPis0wMFa	192.168.226.11	45284	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750486452.960026	CMgnqG4k44zS26Ty87	192.168.226.11	44708	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750486473.091577	CCwKPw2oG88iLv8zFl	192.168.226.11	47056	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750486487.922919	CEZtWhmYFPJKuKpp9	192.168.226.11	45700	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750486508.080681	C6qzyRHRV37EIwNJh	192.168.226.11	46422	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750486533.324765	CoCw4b1Kv4cqGrqBHg	192.168.226.11	48096	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750486551.179226	CASbp34wt4yPn2EDYa	192.168.226.11	45352	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750486572.440732	CZJXZr2bg8Ro2A1Rse	192.168.226.11	46218	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750486586.773148	CK5QtD3EYFT58Uy9Ih	192.168.226.11	46388	184.26.127.9	80	active_connection_reuse	-	F	zeek	TCP
1750486592.307438	C84Vy93o9anqgy1aCd	192.168.226.11	45748	184.26.127.9	80	active_connection_reuse	-	F	zeek	TCP
1750486607.443060	Cypmcw3RonbskCVMyi	192.168.226.11	46522	184.26.127.49	80	active_connection_reuse	-	F	zeek	TCP
1750486612.893890	CLF2tQ35ym9myjYj48	192.168.226.11	47812	184.26.127.49	80	active_connection_reuse	-	F	zeek	TCP
1750486628.389475	CWuqz22nuMfox7PE46	192.168.226.11	48456	184.26.127.49	80	active_connection_reuse	-	F	zeek	TCP
1750486632.968698	CyeLW81etkWup3jy8j	192.168.226.11	47500	184.26.127.49	80	active_connection_reuse	-	F	zeek	TCP
1750486657.911282	CR9e3p4uIoE46iVIlc	192.168.226.11	44622	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
