 ,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,label
49.0,2025-06-23T01:42:44+0800,CRQ9pl24csLc4zl5Vk,192.168.84.22,56919,192.168.84.22,25,tcp,,0.000402,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
50.0,2025-06-23T01:42:44+0800,C4H9pF24bwiwgvScId,192.168.84.22,57587,192.168.84.22,554,tcp,,0.000745,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
51.0,2025-06-23T01:42:44+0800,CCC90c41Q1Mt02wINj,192.168.84.22,57835,192.168.84.22,113,tcp,,0.00036,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
52.0,2025-06-23T01:42:44+0800,C1yW4h46IJUMVkmCBc,192.168.84.22,60589,192.168.84.22,995,tcp,,0.000672,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
53.0,2025-06-23T01:42:44+0800,CThs4u1ZoYY4Qq5QCe,192.168.84.22,60995,192.168.84.22,22,tcp,,0.000563,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
54.0,2025-06-23T01:42:44+0800,CvVlyw2YulphPIK6x8,192.168.84.22,57351,192.168.84.22,8080,tcp,,0.000542,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
55.0,2025-06-23T01:42:44+0800,CqQuer4yJRsD6neRhd,192.168.84.22,57483,192.168.84.22,993,tcp,,0.000631,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
56.0,2025-06-23T01:42:44+0800,Cwwl643bVUQ883BVmi,192.168.84.22,58913,192.168.84.22,111,tcp,,0.000498,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
57.0,2025-06-23T01:42:44+0800,C2ikvGJqv7xyUVAQf,192.168.84.22,60221,192.168.84.22,199,tcp,,0.000413,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
58.0,2025-06-23T01:42:44+0800,CXvIEK2l5g1MQb252d,192.168.84.22,60847,192.168.84.22,256,tcp,,0.000446,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
59.0,2025-06-23T01:42:44+0800,CnLZVp2slwws1zzxn4,192.168.84.22,58577,192.168.84.22,443,tcp,,0.000325,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
60.0,2025-06-23T01:42:44+0800,CuBrkj41IkhXvFdH91,192.168.84.22,56983,192.168.84.22,21,tcp,,0.000499,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
61.0,2025-06-23T01:42:44+0800,CBHSBW2n9MRc1Qm5F2,192.168.84.22,57113,192.168.84.22,8888,tcp,,0.000414,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
62.0,2025-06-23T01:42:44+0800,CxDIbI15UQ2xpfJeMj,192.168.84.22,57065,192.168.84.22,110,tcp,,0.000466,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
63.0,2025-06-23T01:42:44+0800,CJcO0t3GcP3Q3sOsCg,192.168.84.22,58763,192.168.84.22,3306,tcp,,0.000618,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
64.0,2025-06-23T01:42:44+0800,CCIWQzhE37URpWZT6,192.168.84.22,57953,192.168.84.22,23,tcp,,0.000646,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
65.0,2025-06-23T01:42:44+0800,COAnUW3gl8helXJ4Nb,192.168.84.22,59175,192.168.84.22,53,tcp,,0.000191,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
66.0,2025-06-23T01:42:44+0800,Cj3G1kjB5r0VEwAh8,192.168.84.22,57733,192.168.84.22,3389,tcp,,0.000383,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
67.0,2025-06-23T01:42:44+0800,CSV0w6xD7xNUGihn9,192.168.84.22,59663,192.168.84.22,587,tcp,,0.000299,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
68.0,2025-06-23T01:42:44+0800,CTKKq31KlAA6o6HQQ3,192.168.84.22,59801,192.168.84.22,143,tcp,,0.000231,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
69.0,2025-06-23T01:42:44+0800,Cjvx074tze0tSlO18j,192.168.84.22,60003,192.168.84.22,1723,tcp,,0.000492,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
70.0,2025-06-23T01:42:44+0800,CJsIIeHzdhlR8IRpj,192.168.84.22,58753,192.168.84.22,1025,tcp,,0.000311,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
71.0,2025-06-23T01:42:44+0800,CW4Quv44W5OfsBNjOk,192.168.84.22,57577,192.168.84.22,5900,tcp,,0.000236,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
72.0,2025-06-23T01:42:44+0800,Ch7T791fLaljPHrJhh,192.168.84.22,60599,192.168.84.22,80,tcp,,0.000248,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
73.0,2025-06-23T01:42:44+0800,C8tRs63AO0bSsDvAEh,192.168.84.22,60639,192.168.84.22,8701,tcp,,0.000306,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
74.0,2025-06-23T01:42:44+0800,CQbffL10f2I13I77u,192.168.84.22,59613,192.168.84.22,2107,tcp,,0.000337,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
75.0,2025-06-23T01:42:44+0800,Cjk0jH2OrMf0GT6A7,192.168.84.22,58847,192.168.84.22,1026,tcp,,0.000498,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
76.0,2025-06-23T01:42:44+0800,CptxEk31WvwSQw0QDe,192.168.84.22,58115,192.168.84.22,6547,tcp,,0.000559,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
